,Year,Country Name,"Agriculture, value added (% of GDP)",CO2 emissions (metric tons per capita),Domestic credit provided by financial sector (% of GDP),Electric power consumption (kWh per capita),Energy use (kg of oil equivalent per capita),Exports of goods and services (% of GDP),"Fertility rate, total (births per woman)",GDP growth (annual %),Imports of goods and services (% of GDP),"Industry, value added (% of GDP)","Inflation, GDP deflator (annual %)","Life expectancy at birth, total (years)",Population density (people per sq. km of land area),"Services, etc., value added (% of GDP)"
22,1962,Bermuda,,3.38371244635,,,,,,4.47,,,0.976544537597,,932.0,
23,1962,Bhutan,,,,,,,6.67,,,,,33.0941463415,5.023286175969999,
24,1962,Bolivia,,0.28662649397,9.95245989723,,,12.463944768,6.632999999999999,5.57022534605,19.9423116288,,3.56999831172,42.7570487805,3.54296686052,
25,1962,Bosnia and Herzegovina,,,,,,,3.665,,,,,61.5679756098,65.5256666667,
26,1962,Botswana,40.4569282529,,,,,27.9260392617,6.649,6.6666678138,44.83899261729999,11.3128863156,1.3607353240900002,51.255024390200006,0.970462124821,48.2301854315
27,1962,Brazil,17.3504902146,0.6972807432160001,25.7857035654,,,3.86876017137,6.143,5.21605942018,5.18897394768,33.3290518036,78.8307581636,55.2356585366,9.21347919513,49.320461959700005
28,1962,British Virgin Islands,,0.441913714148,,,,,,,,,,,55.32,
29,1962,Brunei Darussalam,,4.13342187204,,,,,6.448,,,,,63.575902439,17.0024667932,
30,1962,Bulgaria,,3.83589181807,,,,,2.24,,,,,69.4919512195,72.430136491,
31,1962,Burkina Faso,39.4865193718,0.0170031197553,2.3978701742900004,,,5.53198369723,6.343999999999999,6.1287987814300005,15.7059646946,20.2003561706,2.01037156929,35.4058780488,18.1298428363,40.3131244576
32,1962,Burundi,,0.0152025731471,,,,13.1147537298,7.045,9.0631579346,16.3934421622,,-3.56741645372,41.8603902439,112.714563863,
33,1962,Cabo Verde,,0.0869509546346999,,,,,6.952999999999999,,,,,49.3165121951,52.3240694789,
34,1962,Cambodia,,0.0511105919396,,,,13.8528136729,6.955,,22.9437213471,,,41.5174390244,34.1417176524,
35,1962,Cameroon,,0.0517885260883,9.34154496013,,,,5.766,3.04155905101,,,3.10995906835,42.4059512195,11.833403143599998,
36,1962,Canada,,11.1306274847,28.1908572661,5791.12495971,4451.56011604,17.7825630998,3.681,7.116779266789999,17.7928988203,,1.4142108343000002,71.3670731707,2.04695436636,
37,1962,Caribbean small states,,2.7038747574299995,15.054971343900002,,,53.2858805437,5.52302044416,,53.5410416247,,,63.27171776229999,10.7612722332,
38,1962,Cayman Islands,,1.3511422255,,,,,,,,,,,33.925,
39,1962,Central African Republic,,0.0471138131996,12.9508180586,,,24.590165133000003,5.891,-3.7138001841,37.7049074335,,4.88874686845,37.318780487800005,2.49872548075,
40,1962,Central Europe and the Baltics,,5.67398699024,,,,,2.31137778329,,,,,68.0077933168,84.1028476463,
41,1962,Chad,39.8120694443,0.0270119656401,4.5306341015900005,,,14.0303830075,6.285,5.36011610894,19.6289542139,9.18180551318,1.53457996042,38.5288536585,2.47806111111,51.0061250425
42,1962,Channel Islands,,,,,,,2.525,,,,,70.830097561,586.647368421,
43,1962,Chile,8.89917237697,2.07658831467,25.7170106956,,,11.9217930377,5.009,5.19307954183,13.624906328800002,37.3765239833,12.0200692226,58.5153902439,10.8323058053,53.7243036398
44,1962,China,38.9864050938,0.661428164381,,,,4.05265875065,6.061,-5.58,2.90827740492,31.3113061435,-0.114964907969,44.3983414634,70.9152397944,29.6936843917
45,1962,Colombia,,1.11098569008,31.464600206,,,12.1913768267,6.779,5.46650028235,12.1951727599,,6.58109812145,57.7392195122,15.7730202794,
46,1962,Comoros,,0.0564269593763,,,,,6.897,,,,,42.237756097600005,104.760881247,
